Name,SamAccountName,UPN,GivenName,Surname,DisplayName,EmailAddress,Group,Department
Jasper Beardley,Jasper,jasper@test.local,Jasper,Beardley,Jasper Beardley,jasper@test.local,Retired,Retired
Patty Bouvier,Patty,patty@test.local,Patty,Bouvier,Patty Bouvier,patty@test.local,Bouvier,Bouvier
Selma Bouvier,Selma,selma@test.local,Selma,Bouvier,Selma Bouvier,selma@test.local,Bouvier,Bouvier
Kent Brockman,Kent,kent@test.local,Kent,Brockman,Kent Brockman,kent@test.local,,
Charles Montgomery Burns,Charles Montgomery,monty@test.local,Charles Montgomery,Burns,Charles Montgomery Burns,monty@test.local,Powerplant,Powerplant
Carl Carlson,Carl,carl@test.local,Carl,Carlson,Carl Carlson,carl@test.local,Powerplant,Powerplant
Maude Flanders,Maude,maude@test.local,Maude,Flanders,Maude Flanders,maude@test.local,Flanders,Flanders
Ned Flanders,Ned,ned@test.local,Ned,Flanders,Ned Flanders,ned@test.local,Flanders,Flanders
Rod Flanders,Rod,rod@test.local,Rod,Flanders,Rod Flanders,rod@test.local,Flanders,Flanders
Todd Flanders,Todd,todd@test.local,Todd,Flanders,Todd Flanders,todd@test.local,Flanders,Flanders
Matt Groening,Matt,matt@test.local,Matt,Groening,Matt Groening,matt@test.local,,
Barney Gumble,Barney,barney@test.local,Barney,Gumble,Barney Gumble,barney@test.local,,
Julius Hibbert,Julius,julius@test.local,Julius,Hibbert,Julius Hibbert,julius@test.local,,
Bernice Hibbert,Bernice,bernice@test.local,Bernice,Hibbert,Bernice Hibbert,bernice@test.local,,
Jimbo Jones,Jimbo,jimbo@test.local,Jimbo,Jones,Jimbo Jones,jimbo@test.local,,
Edna Krabappel,Edna,edna@test.local,Edna,Krabappel,Edna Krabappel,edna@test.local,,
Lenny Leonard,Lenny,lenny@test.local,Lenny,Leonard,Lenny Leonard,lenny@test.local,Powerplant,Powerplant
Helen Lovejoy,Helen,helen@test.local,Helen,Lovejoy,Helen Lovejoy,helen@test.local,,
Timothy Lovejoy,Timothy,timothy@test.local,Timothy,Lovejoy,Timothy Lovejoy,timothy@test.local,,
Otto Mann,Otto,otto@test.local,Otto,Mann,Otto Mann,otto@test.local,,
Nelson Muntz,Nelson,nelson@test.local,Nelson,Muntz,Nelson Muntz,nelson@test.local,,
Abraham Simpson,Abraham,abe@test.local,Abraham,Simpson,Abraham Simpson,abe@test.local,Retired,Retired
Bart Simpson,Bart,bart@test.local,Bart,Simpson,Bart Simpson,bart@test.local,Simpsons,Simpsons
Homer Simpson,Homer,homer@test.local,Homer,Simpson,Homer Simpson,homer@test.local,Simpsons,Simpsons
Lisa Simpson,Lisa,lisa@test.local,Lisa,Simpson,Lisa Simpson,lisa@test.local,Simpsons,Simpsons
Maggie Simpson,Maggie,maggie@test.local,Maggie,Simpson,Maggie Simpson,maggie@test.local,Simpsons,Simpsons
Marge Simpson,Marge,marge@test.local,Marge,Simpson,Marge Simpson,marge@test.local,Simpsons,Simpsons
Agnes Skinner,Agnes,agnes@test.local,Agnes,Skinner,Agnes Skinner,agnes@test.local,,
Seymour Skinner,Seymour,seymour@test.local,Seymour,Skinner,Seymour Skinner,seymour@test.local,,
Waylon Smithers,Waylon,waylon@test.local,Waylon,Smithers,Waylon Smithers,waylon@test.local,Powerplant,Powerplant
Moe Szyslak,Moe,moe@test.local,Moe,Szyslak,Moe Szyslak,moe@test.local,,
Kirk van Houten,Kirk,kirk@test.local,Kirk,van Houten,Kirk van Houten,kirk@test.local,van Houten,van Houten
Luann van Houten,Luann,luann@test.local,Luann,van Houten,Luann van Houten,luann@test.local,van Houten,van Houten
Milhouse van Houten,Milhouse,milhouse@test.local,Milhouse,van Houten,Milhouse van Houten,milhouse@test.local,van Houten,van Houten
Clancy Wiggum,Clancy,clancy@test.local,Clancy,Wiggum,Clancy Wiggum,clancy@test.local,Wiggum,Wiggum
Ralph Wiggum,Ralph,ralph@test.local,Ralph,Wiggum,Ralph Wiggum,ralph@test.local,Wiggum,Wiggum
Sarah Wiggum,Sarah,sarah@test.local,Sarah,Wiggum,Sarah Wiggum,sarah@test.local,Wiggum,Wiggum
